tweet,date,tagged,keywords,events,selected
"Berlin, 4 juin 2012: « Vous m'avez eu. Je suis M. #Magnotta. Je suis celui que vous cherchez » http://t.co/bQ2jT3vOGE http://t.co/s3MUwAGBpu",10/28/2014,"Berlin_NPP 4_ADJ juin_NC 2012_N :_PUNC ""_PUNC Vous_CLS m_NC '_ADJ avez_V eu_VPP Je_CLS suis_V M_N #Magnotta_N Je_CLS suis_V celui_PRO que_PROREL vous_CLS cherchez_V ""_PUNC",Berlin 4 juin avez eu suis cherchez,arrestation,1
Juge a aussi précisé au jury que la Couronne travaille encore sur des admissions qui compléteront sa preuve. #Magnotta,10/28/2014,Juge_NPP a_V aussi_ADV précisé_VPP au_P jury_NC que_CS la_DET Couronne_NC travaille_V encore_ADV sur_P des_DET admissions_NC qui_PROREL compléteront_V sa_DET preuve_NC #Magnotta_NPP,Juge précisé jury Couronne travaille admissions compléteront preuve,procedure,
Procès #Magnotta a repris. Défense dépose des preuves qui ne l'avaient pas été. Juge suspend le procès jusqu'à vendredi.,10/28/2014,Procès_NPP #Magnotta_NPP a_V repris_VPP Défense_NPP dépose_V des_DET preuves_NC qui_PROREL ne_ADV l'avaient_V pas_ADV été_VPP Juge_ADV suspend_V le_DET procès_NC jusqu_ADJ '_ADJ à_P vendredi_NC,Procès repris Défense dépose preuves l'avaient été suspend procès jusqu vendredi,procedure,
"Fin du témoignage de Leymann. Le juge demande au jury de se retirer, à la demande de la Couronne. Pause de 30 minutes #Magnotta",10/28/2014,Fin_NC du_P témoignage_NC de_P Leymann_NPP Le_DET juge_NC demande_V au_P jury_NC de_P se_CLR retirer_VINF à_P la_DET demande_NC de_P la_DET Couronne_NC Pause_N de_P 30_DET minutes_NC #Magnotta_NPP,Fin témoignage Leymann juge demande jury retirer Couronne minutes,procedure,
Leymann n'a pas dit au suspect ses droits. Il pensait que quelqu'un les lui avait déjà lus #Magnotta,10/28/2014,Leymann_NPP n_N '_N a_V pas_ADV dit_VPP au_P suspect_ADJ ses_DET droits_NC Il_CLS pensait_V que_CS quelqu'un_V les_DET lui_CLO avait_V déjà_ADV lus_VPP #Magnotta_NPP,Leymann dit suspect droits pensait quelqu'un avait lus,arrestation,
"Selon Leymann, #Magnotta évitait le regard des policiers dans la voiture le conduisant au centre de détention.",10/28/2014,Selon_P Leymann_NPP #Magnotta_NPP évitait_V le_DET regard_NC des_P policiers_NC dans_P la_DET voiture_NC le_CLO conduisant_VPR au_P centre_NC de_P détention_NC,Leymann évitait regard policiers voiture centre détention,arrestation,
Leymann précise maintenant que #Magnotta lui a semblé arrogant quand il est entré dans l'autopatrouille.,10/28/2014,Leymann_NPP précise_V maintenant_ADV que_CS #Magnotta_NPP lui_CLO a_V semblé_VPP arrogant_ADJ quand_CS il_CLS est_V entré_VPP dans_P l'autopatrouille_NC,Leymann précise semblé arrogant est entré l'autopatrouille,arrestation,
Leymann confirme que #Magnotta coopérait avec les policiers malgré tout. Il faisait ce qu'on lui disait de faire.,10/28/2014,Leymann_NPP confirme_V que_CS #Magnotta_NPP coopérait_V avec_P les_DET policiers_NC malgré_P tout_ADV Il_CLS faisait_V ce_DET qu'on_NC lui_CLO disait_V de_P faire_VINF,Leymann confirme coopérait policiers faisait qu'on disait faire,arrestation,
"Leymann répète que la façon dont #Magnotta le regardait lui semblait arrogante, ""comme si personne ne pouvait rien contre lui""",10/28/2014,Leymann_NPP répète_V que_CS la_DET façon_NC dont_PROREL #Magnotta_NPP le_CLO regardait_V lui_PRO semblait_V arrogante_ADJ comme_P si_C personne_PRO ne_ADV pouvait_V rien_PRO contre_P lui_PRO,Leymann répète façon regardait semblait arrogante pouvait,arrestation,
Fin de l'interrogatoire principal. Thomas Leymann maintenant contre-interrogé par l'avocat de #Magnotta,10/28/2014,Fin_NC de_P l'interrogatoire_NC principal_ADJ Thomas_NPP Leymann_NPP maintenant_ADV contre-interrogé_VPP par_P l'avocat_N de_P #Magnotta_NPP,Fin l'interrogatoire principal Thomas Leymann contre-interrogé,procedure,
"Son comportement pendant prises d'empreintes digitales/photographies? Il était très calme, voire arrogant, dit Leymann #Magnotta",10/28/2014,Son_DET comportement_NC pendant_P prises_NC d'empreintes_ADJ digitales/photographies_VPP ?_PUNC Il_CLS était_V très_ADV calme_ADJ voire_CC arrogant_ADJ dit_V Leymann_NPP #Magnotta_NPP,comportement prises d'empreintes digitales/photographies était calme arrogant dit Leymann,arrestation,1
"Arrivé au centre de détention, on l'a fouillé, mais pas à nu, dit Leymann. #Magnotta",10/28/2014,Arrivé_VPP au_P centre_NC de_P détention_NC on_CLS l'_CLO a_V fouillé_VPP mais_CC pas_ADV à_P nu_NC dit_V Leymann_NPP #Magnotta_NPP,Arrivé centre détention fouillé nu dit Leymann,arrestation,
"#Magnotta était calme pendant le transport. Il portait lunettes fumées, qu'on lui a demandé d'enlever, dit Leymann",10/28/2014,#Magnotta_NPP était_V calme_ADJ pendant_P le_DET transport_NC Il_CLS portait_V lunettes_NC fumées_NC qu'on_ADV lui_CLO a_V demandé_VPP d'enlever_VINF dit_V Leymann_NPP,était calme transport portait lunettes fumées demandé d'enlever dit Leymann,arrestation,
Leymann a vu #Magnotta une première fois quand ses collègues l'ont mis dans l'autopatrouille.,10/28/2014,Leymann_NPP a_V vu_VPP #Magnotta_NPP une_DET première_ADJ fois_NC quand_CS ses_DET collègues_NC l'ont_V mis_VPP dans_P l'autopatrouille_NC,Leymann vu première fois collègues l'ont mis l'autopatrouille,arrestation,
Leymann est resté dans la voiture lors de l'arrestation de #Magnotta Cherchait des images de lui sur Google pour comparer.,10/28/2014,Leymann_NPP est_V resté_VPP dans_P la_DET voiture_NC lors_ADV de_P l'arrestation_NC de_P #Magnotta_NPP Cherchait_V des_DET images_NC de_P lui_PRO sur_P Google_NPP pour_P comparer_VINF,Leymann est resté voiture l'arrestation Cherchait images Google comparer,arrestation,1
Leymann accompagnait le policier Lilge le 4 juin 2012. Il raconte à son tour l'arrestation de #Magnotta dans un café Internet de Berlin,10/28/2014,Leymann_NPP accompagnait_V le_DET policier_NC Lilge_NPP le_DET 4_ADJ juin_NC 2012_N Il_CLS raconte_V à_P son_DET tour_NC l'arrestation_NC de_P #Magnotta_NPP dans_P un_DET café_NC Internet_NPP de_P Berlin_NPP,Leymann accompagnait policier Lilge 4 juin raconte tour l'arrestation café Internet Berlin,arrestation,
Procès #Magnotta reprend. Dernier témoin de la Couronne: Thomas Leymann. Témoignage enregistré le 2 juillet à Berlin.,10/28/2014,Procès_NPP #Magnotta_NPP reprend_V Dernier_ADJ témoin_NC de_P la_DET Couronne_NC :_PUNC Thomas_NPP Leymann_NPP Témoignage_NPP enregistré_VPP le_DET 2_ADJ juillet_NC à_P Berlin_NPP,Procès reprend Dernier témoin Couronne Thomas Leymann Témoignage enregistré 2 juillet Berlin,procedure,
Fin du témoignage de Lilge. De retour à 14h30 #Magnotta,10/28/2014,Fin_NC du_P témoignage_NC de_P Lilge_NPP De_P retour_NC à_P 14h30_NC #Magnotta_NPP,Fin témoignage Lilge retour 14h30,procedure,
Me Leclair s'attarde longuement au fait que Lilge n'a pas dit à #Magnotta qu'il pouvait contacter personnel diplomatique canadien.,10/28/2014,Me_NC Leclair_ET s_ET '_ET attarde_ET longuement_ADV au_P fait_N que_CS Lilge_NPP n_NC '_ADJ a_V pas_ADV dit_VPP à_P #Magnotta_NPP qu'il_NPP pouvait_V contacter_VINF personnel_NC diplomatique_ADJ canadien_ADJ,Me Lilge n dit qu'il pouvait contacter personnel diplomatique canadien,arrestation,
"#Magnotta n'a pas répondu quand j'ai évoqué son droit à un avocat, dit Lilge. Il croit que #Magnotta comprenait bien pourtant.",10/28/2014,#Magnotta_NPP n_N '_N a_V pas_ADV répondu_VPP quand_CS j'_CLS ai_V évoqué_VPP son_DET droit_NC à_P un_DET avocat_NC dit_V Lilge_NPP Il_CLS croit_V que_CS #Magnotta_NPP comprenait_V bien_ADV pourtant_ADV,répondu ai évoqué droit avocat dit Lilge croit comprenait,arrestation,1
